"lemmatizedAbstract","abstract","source"
"PURPOSE: Compression of the sciatic nerve in its path along the piriformis muscle can produce sciatica - like symptom. There be 6 predominant type of sciatic nerve variation with type 1 be the much common ( 84. 2 % ), follow by type 2 ( 13. 9 % ). However, there be scarce literature on the prevalence of sciatic nerve variation in that diagnose with sciatica. material AND method: The chart of 95 patient clinically diagnose with sciatica who have a magnetic resonance image of the pelvis / hip be retrospectively study. All patient have T1 - weight axial, coronal, and sagittal image. Magnetic resonance imaging be interpret separately by 2 board - certify fellowship - train musculoskeletal radiologist to identify the sciatic nerve variant. result: Seven case be exclude because of inadequate image. Of the remain 88 patient, 5 have bilateral sciatica result in a sample size of 93 limb. Fifty - two ( 55. 9 % ) have type 1 sciatic nerve anatomy, 39 ( 41. 9 % ) have type 2, and 2 ( 2. 2 % ) have type 3. The proportion of type 1 and 2 variation be significantly different from the normal distribution ( P < 0. 001 ), whereas type 3, 4, 5, and 6 variant be not ( P = 1. 00 ). conclusion: There be strong statistical significance regard the relationship between sciatic nerve variation and the clinical diagnosis of sciatica. Preoperative magnetic resonance image can be consider in sciatica patient to prevent iatrogenic injury in pelvic surgery.","PURPOSE:

Compression of the sciatic nerve in its path along the piriformis muscle can produce sciatica-like symptoms. There are 6 predominant types of sciatic nerve variations with type 1 being the most common (84.2%), followed by type 2 (13.9%). However, there is scarce literature on the prevalence of sciatic nerve variation in those diagnosed with sciatica.
MATERIALS AND METHODS:

The charts of 95 patients clinically diagnosed with sciatica who had a magnetic resonance imaging of the pelvis/hip were retrospectively studied. All patients had T1-weighted axial, coronal, and sagittal images. Magnetic resonance imagings were interpreted separately by 2 board-certified fellowship-trained musculoskeletal radiologists to identify the sciatic nerve variant.
RESULTS:

Seven cases were excluded because of inadequate imaging. Of the remaining 88 patients, 5 had bilateral sciatica resulting in a sample size of 93 limbs. Fifty-two (55.9%) had type 1 sciatic nerve anatomy, 39 (41.9%) had type 2, and 2 (2.2%) had type 3. The proportions of type 1 and 2 variations were significantly different from the normal distribution (P < 0.001), whereas type 3, 4, 5, and 6 variants were not (P = 1.00).
CONCLUSIONS:

There is strong statistical significance regarding the relationship between sciatic nerve variation and the clinical diagnosis of sciatica. Preoperative magnetic resonance imaging can be considered in sciatica patients to prevent iatrogenic injury in pelvic surgery.","PubMed"
"Endometriosis ( EN ) be a common gynecological condition characterize by the presence of functional endometrium locate outside the uterine cavity. Sciatic nerve ( SN ) be rarely affect by EN. Magnetic resonance image allow a direct visualization of the spinal and SN, and it be the modality of choice for the study of SN involvement in extrapelvic EN. We report a case of a endometrioma locate in the right SN with a systematic review of the literature.","Endometriosis (EN) is a common gynecological condition characterized by the presence of functional endometrium located outside the uterine cavity. Sciatic nerve (SN) is rarely affected by EN. Magnetic resonance imaging allows a direct visualization of the spinal and SN, and it is the modality of choice for the study of SN involvement in extrapelvic EN. We report a case of an endometrioma located in the right SN with a systematic review of the literature.","PubMed"
"The sciatic nerve be the terminal branch of the sacral plexus. Sciatalgia be a nerve root pain. In much case, sciatica originate from degenerative disc disease. Tumor involve the sciatic nerve be extremely rare. We here report the case of a 33 - year old patient with nerve tumor detect on MRI perform for drug - resistant sciatica. Tumor involve the sciatic nerve be rare and diagnosis be difficult. MRI datum be crucial for establish a effective surgical approach.? Omar El Aoufir et al. keyword: MRI; Sciatic nerve; nerve tumor; neurinoma; neurofibroma","The sciatic nerve is the terminal branch of the sacral plexus. Sciatalgia is a nerve root pain. In most cases, sciatica originates from degenerative disc disease. Tumor involving the sciatic nerve is extremely rare. We here report the case of a 33-year old patient with nerve tumor detected on MRI performed for drug-resistant sciatica. Tumor involving the sciatic nerve is rare and diagnosis is difficult. MRI data are crucial for establishing an effective surgical approach.

? Omar El Aoufir et al.
KEYWORDS:

MRI; Sciatic nerve; nerve tumor; neurinoma; neurofibroma","PubMed"
"Carbonic anhydrase - 8 ( CA8 ) be a intracellular protein that function as a allosteric inhibitor of inositol trisphosphate receptor - 1 ( ITPR1 ) critical to intracellular Ca++ release, synaptic function and neuronal excitability. We show previously that murine nociception and analgesic response be regulate by the expression of this gene in dorsal root ganglion ( DRG ) associate with a cis - eQTL. In this report, we identify a exon - level cis - eQTL ( rs6471859 ) that regulate human DRG CA8 alternative splice, produce a truncate 1,697bp transcript ( e. g., CA8 - 204 ). Our functional genomic study show the "" G "" allele at rs6471859 produce a cryptic 3'UTR splice site regulate expression of CA8 - 204. We develop construct to study the expression and function of the naturally occur CA8 - 204G transcript ( G allele at rs6471859 ), CA8 - 204C ( C allele at rs6471859 reversion mutation ) and CA8 - 201 ( full length transcript ). CA8 - 204G transcript expression occur predominantly in non - neuronal cell ( HEK293 ), while CA8 - 204C expression be restrict to neuronal derive cell ( NBL ) in vitro. CA8 - 204G produce a stable truncate transcript in HEK293 cell that be barely detectable in NBL cell. We also show CA8 - 204 produce a stable peptide that inhibit pITPR1 and Ca++ release in HEK293 cell. this result imply homozygous G / G individual at rs6471859, which be common in the general population, produce exclusively CA8 - 204G that be barely detectable in neuronal cell. CA8 null mutation that greatly impact neuronal function be associate with severe form of spinal cerebellar ataxia, and our datum suggest G / G homozygote should display a similar phenotype. To address this question, we show in vivo use AAV8 - FLAG - CA8 - 204G and AAV8 - V5 - CA8 - 201 gene transfer deliver via intra - neural sciatic nerve injection ( SN ), that this viral construct be able to transduce DRG cell and produce similar analgesic and anti - hyperalgesic response to inflammatory pain. Immunohistochemistry ( IHC ) examination of DRG tissue far show CA8 - 204G peptide be express in advillin express neuronal cell, but to a lesser extent compare to glial cell. this finding explain why G / G homozygote that exclusively produce this truncate functional peptide in DRG evade a severe phenotype. this genomic study significantly advance the literature regard structure - function study on CA8 - ITPR1 critical to calcium signal pathway, synaptic function, neuronal excitability and analgesic response.","Carbonic anhydrase-8 (CA8) is an intracellular protein that functions as an allosteric inhibitor of inositol trisphosphate receptor-1 (ITPR1) critical to intracellular Ca++ release, synaptic functions and neuronal excitability. We showed previously that murine nociception and analgesic responses are regulated by the expression of this gene in dorsal root ganglion (DRG) associated with a cis-eQTL. In this report, we identify an exon-level cis-eQTL (rs6471859) that regulates human DRG CA8 alternative splicing, producing a truncated 1,697bp transcript (e.g., CA8-204). Our functional genomic studies show the ""G"" allele at rs6471859 produces a cryptic 3'UTR splice site regulating expression of CA8-204. We developed constructs to study the expression and function of the naturally occurring CA8-204G transcript (G allele at rs6471859), CA8-204C (C allele at rs6471859 reversion mutation) and CA8-201 (full length transcript). CA8-204G transcript expression occurred predominantly in non-neuronal cells (HEK293), while CA8-204C expression was restricted to neuronal derived cells (NBL) in vitro. CA8-204G produced a stable truncated transcript in HEK293 cells that was barely detectable in NBL cells. We also show CA8-204 produces a stable peptide that inhibits pITPR1 and Ca++ release in HEK293 cells. These results imply homozygous G/G individuals at rs6471859, which are common in the general population, produce exclusively CA8-204G that is barely detectable in neuronal cells. CA8 null mutations that greatly impact neuronal functions are associated with severe forms of spinal cerebellar ataxia, and our data suggest G/G homozygotes should display a similar phenotype. To address this question, we show in vivo using AAV8-FLAG-CA8-204G and AAV8-V5-CA8-201 gene transfer delivered via intra-neural sciatic nerve injection (SN), that these viral constructs are able to transduce DRG cells and produce similar analgesic and anti-hyperalgesic responses to inflammatory pain. Immunohistochemistry (IHC) examinations of DRG tissues further show CA8-204G peptide is expressed in advillin expressing neuronal cells, but to a lesser extent compared to glial cells. These findings explain why G/G homozygotes that exclusively produce this truncated functional peptide in DRG evade a severe phenotype. These genomic studies significantly advance the literature regarding structure-function studies on CA8-ITPR1 critical to calcium signaling pathways, synaptic functioning, neuronal excitability and analgesic responses.","PubMed"
"BACKGROUND: Peripheral nerve block reduce postoperative pain and opioid consumption after total knee arthroplasty ( TKA ). The aim of this study be to evaluate the effect of single - shoot femoral nerve and sciatic nerve block on postoperative pain management and opioid consumption after TKA. method: This study include 100 patient who undergo TKA between July 2015 and September 2017. Fifty patient receive pre - operative, single - injection, ultrasound - guide femoral and sciatic nerve block ( Group 1 ) and 50 do not ( Group 2 ). Multimodal analgesia be otherwise identical, and oxycodone be administer either intravenously or orally if the patient complain of postoperative pain ò6 on the visual analog scale ( va ). Postoperative va score, opioid consumption, and the fear of future TKA be compare between the group. result: The mean va in the first 18 postoperative hour be significantly low in Group 1 ( P? ó? 0. 002 ). The mean amount of oxycodone take in the first three postoperative day be significantly low in Group 1 ( P? =? 0. 001 ). Patient fear of future TKA at 14? day postoperatively be significantly low in Group 1 ( P? =? 0. 027 ). conclusion: Pre - operative ultrasound - guide, single - shoot femoral and sciatic nerve block afford effective pain control in the first 18? h after TKA, and significantly reduce oxycodone consumption in the first three postoperative day. Copyright? 2019. publish by Elsevier B. V. keyword: Femoral nerve block; Oxycodone; Postoperative pain; Sciatic nerve block; Total knee arthroplasty; Ultrasound","BACKGROUND:

Peripheral nerve blocks reduce postoperative pain and opioid consumption after total knee arthroplasty (TKA). The aim of this study was to evaluate the effects of single-shot femoral nerve and sciatic nerve blocks on postoperative pain management and opioid consumption after TKA.
METHODS:

This study included 100 patients who underwent TKA between July 2015 and September 2017. Fifty patients received pre-operative, single-injection, ultrasound-guided femoral and sciatic nerve blocks (Group 1) and 50 did not (Group 2). Multimodal analgesia was otherwise identical, and oxycodone was administered either intravenously or orally if the patients complained of postoperative pain ò6 on the visual analog scale (VAS). Postoperative VAS scores, opioid consumption, and the fear of future TKA were compared between the groups.
RESULTS:

The mean VAS in the first 18 postoperative hours was significantly lower in Group 1 (P?ó?0.002). The mean amount of oxycodone taken in the first three postoperative days was significantly lower in Group 1 (P?=?0.001). Patient fear of future TKA at 14?days postoperatively was significantly lower in Group 1 (P?=?0.027).
CONCLUSIONS:

Pre-operative ultrasound-guided, single-shot femoral and sciatic nerve blocks afforded effective pain control in the first 18?h after TKA, and significantly reduced oxycodone consumption in the first three postoperative days.

Copyright ? 2019. Published by Elsevier B.V.
KEYWORDS:

Femoral nerve block; Oxycodone; Postoperative pain; Sciatic nerve block; Total knee arthroplasty; Ultrasound","PubMed"
"INTRODUCTION: a isolate injury to the tibial division be rare among compressive sciatic neuropathy. To date, isolate injury to the tibial division of the sciatic nerve after self - massage of the gluteal muscle have not be report. Here, we report a case of compressive sciatic neuropathy diagnose after self - massage of the gluteal muscle use magnetic resonance image ( MRI ) and ultrasound image and its associate therapeutic process. PATIENT concern: A 50 - year - old woman present right low extremity pain for the past 7 day. DIAGNOSIS: Electrophysiological finding be consistent with right tibial neuropathy proximal to the branch to hamstring muscle. However, T2 - weight MRI show high signal intensity and swell in the right sciatic nerve from the superior gemellus level to the quadratus femoris level. After consider both radiologic and electrophysiological finding, the patient be diagnose with a isolate injury to the tibial division of the right sciatic nerve. intervention: The patient agree to a ultrasound - guide perineural steroid injection upon receive detail explanation of the procedure. outcome: After the injection, there be significant improvement in pain. CONCLUSION: Therefore, in make a diagnosis of sciatic neuropathy, it may be important to find the lesion via MRI than rely solely on the patient's history or electrophysiologic study.","INTRODUCTION:

An isolated injury to the tibial division is rare among compressive sciatic neuropathy. To date, isolated injury to the tibial division of the sciatic nerve after self-massage of the gluteal muscle has not been reported. Here, we report a case of compressive sciatic neuropathy diagnosed after self-massage of the gluteal muscle using magnetic resonance image (MRI) and ultrasound images and its associated therapeutic process.
PATIENT CONCERNS:

A 50-year-old woman presented right lower extremity pain for the past 7 days.
DIAGNOSIS:

Electrophysiological findings were consistent with right tibial neuropathy proximal to the branch to hamstring muscles. However, T2-weighted MRI showed high signal intensity and swelling in the right sciatic nerves from the superior gemellus level to the quadratus femoris level. After considering both radiologic and electrophysiological findings, the patient was diagnosed with an isolated injury to the tibial division of the right sciatic nerve.
INTERVENTIONS:

The patient agreed to an ultrasound-guided perineural steroid injection upon receiving detailed explanation of the procedure.
OUTCOMES:

After the injection, there was significant improvement in pain.
CONCLUSION:

Therefore, in making a diagnosis of sciatic neuropathy, it may be important to find the lesion via MRI than relying solely on the patient's history or electrophysiologic study.","PubMed"
"OBJECTIVE: The purpose of this study be to assess the endoscopic finding of the sciatic nerve and clinical outcome of major traumatic sciatic nerve neuropathy after fracture or reconstructive surgery of the acetabulum with idiopathic deep gluteal syndrome ( DGS ) group. DESIGN: Retrospective review of patient report. set: Level I trauma center of a tertiary university hospital. participant: The study include 70 patient who consecutively undergo endoscopic sciatic nerve decompression. patient who have previous fracture or reconstructive surgery of the acetabulum be categorize as the major trauma group, whereas that without major trauma be categorize as the idiopathic group ( 45 patient ) after a minimum of 24 - month of follow - up period. MAIN OUTCOME measure: The result be evaluate use the modify Harris Hip Score ( mHHS ), Hip outcome, and 12 - Item Short Form Health Survey score, respectively. result: In the major trauma group, all patient with sensory symptom show some degree of relief after the endoscopic sciatic nerve release. None of the patient with complete foot drop demonstrate complete improvement. Three patient with motor weakness without foot drop show complete improvement in motor function. The mean mHHS increase from 61.5 ñ 13.4 to 84.1 ñ 8.1 ( P = 0. 031 ). In the idiopathic DGS group, the mean mHHS increase from 73.8 ñ 10.3 to 94.4 ñ 5.3 ( P = 0. 003 ). The Benson outcome rate in the major trauma group be statistically low than that in the idiopathic DGS group. CONCLUSION: Endoscopic release of the sciatic nerve after fracture or reconstructive surgery can provide some improvement without complication. However, much favorable outcome be observe in the idiopathic DGS group.","OBJECTIVE:

The purpose of this study was to assess the endoscopic findings of the sciatic nerve and clinical outcomes of major traumatic sciatic nerve neuropathies after fracture or reconstructive surgery of the acetabulum with idiopathic deep gluteal syndrome (DGS) groups.
DESIGN:

Retrospective review of patient reports.
SETTING:

Level I trauma center of a tertiary university hospital.
PARTICIPANTS:

The study included 70 patients who consecutively underwent endoscopic sciatic nerve decompression. Patients who had previous fractures or reconstructive surgeries of the acetabulum were categorized as the major trauma group, whereas those without major trauma were categorized as the idiopathic group (45 patients) after a minimum of 24-months of follow-up period.
MAIN OUTCOME MEASURES:

The results were evaluated using the modified Harris Hip Score (mHHS), Hip outcome, and 12-Item Short Form Health Survey scores, respectively.
RESULTS:

In the major trauma group, all patients with sensory symptoms showed some degree of relief after the endoscopic sciatic nerve release. None of the patients with complete foot drop demonstrated complete improvement. Three patients with motor weakness without foot drop showed complete improvement in motor function. The mean mHHS increased from 61.5 ñ 13.4 to 84.1 ñ 8.1 (P = 0.031). In the idiopathic DGS group, the mean mHHS increased from 73.8 ñ 10.3 to 94.4 ñ 5.3 (P = 0.003). The Benson outcomes rating in the major trauma group was statistically lower than that in the idiopathic DGS group.
CONCLUSION:

Endoscopic release of the sciatic nerve after fractures or reconstructive surgeries could provide some improvements without complications. However, more favorable outcomes were observed in the idiopathic DGS group.","PubMed"
"aim: People with chronic low back pain ( CLBP ) tend to have alter postural control. Visual biofeedback may be use to restore postural control. The purpose of this pilot study be to investigate the effect of visual biofeedback on seat postural trunk control in subject with CLBP, and to investigate the relationship between the postural control parameter and clinical test. method: Ten CLBP subject ( 8 female, 2 male; age 40. 6ñ5 yr; BMI 25. 06ñ2. 93 ) and 10 healthy match control ( 8 female, 2 male; age 41. 2ñ5. 88 yr; BMI 24. 61ñ3. 17 ) undergo seat postural assessment. Center of pressure ( COP ) parameter be collect under three experimental condition: eye - open, visual biofeedback, and eye - close. result: The result reveal that COP velocity be significantly different between healthy and CLBP subject for each condition, both healthy and CLBP subject have no difference in COP parameter between eye - open and visual biofeedback condition, and in subject with CLBP, the straight leg raise clinical test have a strong negative correlation with all COP parameter. conclusion: Our result suggest that 30 - 2 visual biofeedback train do not improve the seat postural control of CLBP subject, potentially due to the short duration of train, and that hamstring muscle tightness or decrease sciatic nerve mobility be associate with bad postural control.","AIMS:

People with chronic low back pain (CLBP) tend to have altered postural control. Visual biofeedback may be used to restore postural control. The purpose of this pilot study was to investigate the effect of visual biofeedback on seated postural trunk control in subjects with CLBP, and to investigate the relationship between the postural control parameters and clinical tests.
METHODS:

Ten CLBP subjects (8 female, 2 male; age 40.6ñ5 yrs; BMI 25.06ñ2.93) and 10 healthy matched controls (8 female, 2 male; age 41.2ñ5.88 yrs; BMI 24.61ñ3.17) underwent seated postural assessment. Center of pressure (COP) parameters were collected under three experimental conditions: eyes-open, visual biofeedback, and eyes-closed.
RESULTS:

The results revealed that COP velocity was significantly different between healthy and CLBP subjects for each condition, both healthy and CLBP subjects had no differences in COP parameters between eyes-open and visual biofeedback conditions, and in subjects with CLBP, the straight leg raise clinical test had a strong negative correlation with all COP parameters.
CONCLUSIONS:

Our results suggest that 30-second visual biofeedback training did not improve the seated postural control of CLBP subjects, potentially due to the short duration of training, and that hamstrings muscle tightness or decreased sciatic nerve mobility was associated with worse postural control.","PubMed"
"aim: To explore the association of self - report physical fitness with bodily, lumbar and sciatic pain, and pain disability during pregnancy. method: The present study sample comprise 159 pregnant woman ( 32. 9 ñ 4.7 year old ). Self - report physical fitness be assess with the International Fitness Scale ( IFIS ), where high score indicate great physical fitness. Bodily pain be assess with the 36 - Item Short Form Health Survey ( SF - 36 ), where high score indicate low pain. Lumbar and sciatic pain be measure with a visual analogue scale ( va ). The Oswestry Disability Index ( ODI ) questionnaire be employ to assess the disability result from pain. measure be assess at 16th and 34th gestational week ( g. w. ). result: Pregnant woman show low - moderate pain during pregnancy course. much of them show medium self - report overall physical fitness. At 16th g. w., great self - report overall physical fitness and cardiorespiratory fitness be associate with little bodily and lumbar pain, and pain disability ( all, P < 0. 05 ). great muscular strength be associate with little bodily pain and pain disability ( both, P < 0. 05 ). great speed - agility be associate with little bodily pain ( P < 0. 01 ) and little pain disability ( P < 0. 05 ). Self - report flexibility be not associate with any outcome ( P > 0. 05 ). At 34th g. w., great overall physical fitness and its component be associate with little bodily and sciatic pain ( all, P < 0. 05 ). CONCLUSION: great self - report overall physical fitness and its component be associate with little bodily, lumbar and sciatic pain, and reduce pain disability during pregnancy. Future study be need to explore whether increase physical fitness before and during pregnancy can decrease pain in this relevant stage.? 2019 John Wiley & son A / S. publish by John Wiley & son Ltd. keyword: International Fitness Scale; agility; back pain; cardiorespiratory fitness; flexibility; gestation; strength; visual analogue scale","AIMS:

To explore the association of self-reported physical fitness with bodily, lumbar and sciatic pain, and pain disability during pregnancy.
METHODS:

The present study sample comprised 159 pregnant women (32.9 ñ 4.7 years old). Self-reported physical fitness was assessed with the International Fitness Scale (IFIS), where higher scores indicate greater physical fitness. Bodily pain was assessed with the 36-Item Short Form Health Survey (SF-36), where higher scores indicate lower pain. Lumbar and sciatic pain were measured with a visual analogue scale (VAS). The Oswestry Disability Index (ODI) questionnaire was employed to assess the disability resulting from pain. Measures were assessed at 16th and 34th gestational weeks (g. w.).
RESULTS:

Pregnant women showed low-moderate pain during pregnancy course. Most of them showed medium self-reported overall physical fitness. At 16th g. w., greater self-reported overall physical fitness and cardiorespiratory fitness were associated with less bodily and lumbar pain, and pain disability (all, P < 0.05). Greater muscular strength was associated with less bodily pain and pain disability (both, P < 0.05). Greater speed-agility was associated with less bodily pain (P < 0.01) and less pain disability (P < 0.05). Self-reported flexibility was not associated with any outcome (P > 0.05). At 34th g. w., greater overall physical fitness and its components were associated with less bodily and sciatic pain (all, P < 0.05).
CONCLUSION:

Greater self-reported overall physical fitness and its components are associated with less bodily, lumbar and sciatic pain, and reduced pain disability during pregnancy. Future studies are needed to explore whether increasing physical fitness before and during pregnancy could decrease pain in this relevant stage.

? 2019 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.
KEYWORDS:

International Fitness Scale; agility; back pain; cardiorespiratory fitness; flexibility; gestation; strength; visual analogue scale","PubMed"
"Although cocaine induce myopathy and myotoxicity be describe in the literature, we report a rare case of cocaine induce paraspinal myositis present with acute sciatic symptom. A 35 - year - old man present with acute leave - side sciatica and be discharge from the emergency department ( ED ). He subsequently attend ED the follow day in severe pain and bilateral sciatic symptom, but deny symptom of neurogenic bowel / bladder disturbance. Clinical examination be limit by severe pain: focal midline lumbar tenderness be elicit on palpation, per rectal and limb examination be within normal limit with no significant neurological deficit. He be admit for observation and pain management. His blood test reveal a leucocyte count of 21. 5? 109 / L, C reactive protein of 89? mg / L and derange renal function with creatinine of 293? mol / L. a urgent lumbar spine MRI be arrange to rule out a discitis or epidural abscess. Lumbar MRI do not demonstrate any feature of discitis but non - specific appearance of paraspinal inflammation raise the suspicion of a paraspinal myositis. Creatinekinase ( CK ) be find to be 66329 IU / L and a detail history reveal he be a cocaine user. Paraspinal muscle biopsy confirm histological feature compatible with myositis. Other serological test be negative, include anti - GBM, ANCA, ANA, Rheumatoid factor, Hep B, Hep C, myositis specific ENA, Treponema pallidum, Borrelia burgdorferi, Rickettsia, Leptospira, EBV and CMV. There be good clinical response to treatment with prednisolone 20? mg OD with a improvement in renal function, CK level and CRP. He have resume normal activity and return to work at 6 - week follow - up. A detail social history include substance misuse be important in patient present to the ED - especially in case of severe musculoskeletal pain with no obvious localise feature. Drug induce myotoxicity, although rare, can result in symptomatic patient with severe renal failure.? BMJ publish Group limit 2019. No commercial re - use. See right and permission. publish by BMJ. keyword: drug misuse ( include addiction ); musculoskeletal syndrome; orthopaedics; radiology; unwanted effect / adverse reaction","Although cocaine induced myopathy and myotoxicity are described in the literature, we report a rare case of cocaine induced paraspinal myositis presenting with acute sciatic symptoms. A 35-year-old man presented with acute left-sided sciatica and was discharged from the emergency department (ED). He subsequently attended ED the following day in severe pain and bilateral sciatic symptoms, but denied symptoms of neurogenic bowel/bladder disturbance. Clinical examination was limited by severe pain: focal midline lumbar tenderness was elicited on palpation, per rectal and limb examinations were within normal limits with no significant neurological deficit. He was admitted for observation and pain management. His blood tests revealed a leucocyte count of 21.5?109/L, C reactive protein of 89?mg/L and deranged renal function with creatinine of 293 ?mol/L. An urgent lumbar spine MRI was arranged to rule out a discitis or epidural abscess. Lumbar MRI did not demonstrate any features of discitis but non-specific appearances of paraspinal inflammation raised the suspicion of a paraspinal myositis. Creatinekinase (CK) was found to be 66329 IU/L and a detailed history revealed he was a cocaine user. Paraspinal muscle biopsy confirmed histological features compatible with myositis. Other serological tests were negative, including anti-GBM, ANCA, ANA, Rheumatoid factor, Hep B, Hep C, myositis specific ENA, Treponema pallidum, Borrelia burgdorferi, Rickettsia, Leptospira, EBV and CMV. There was good clinical response to treatment with prednisolone 20?mg OD with an improvement in renal function, CK levels and CRP. He had resumed normal activities and return to work at 6-week follow-up. A detailed social history including substance misuse is important in patients presenting to the ED-especially in cases of severe musculoskeletal pain with no obvious localising features. Drug induced myotoxicity, although rare, can result in symptomatic patients with severe renal failure.

? BMJ Publishing Group Limited 2019. No commercial re-use. See rights and permissions. Published by BMJ.
KEYWORDS:

drug misuse (including addiction); musculoskeletal syndromes; orthopaedics; radiology; unwanted effects / adverse reactions","PubMed"
