abstract,PubMed
"Various conditions may result in forefoot pain. Magnetic resonance (MR) imaging allows accurate assessment of many of these conditions. We provide an overview of forefoot disorders divided into bones, capsule and plantar plate, musculotendinous structures, neurovascular structures, and subcutaneous tissue. We review normal anatomical features as well as MR imaging findings of common disorders.

Copyright ? 2019 Canadian Association of Radiologists. Published by Elsevier Inc. All rights reserved.
KEYWORDS:

Foot; Forefoot pain; Magnetic resonance; Metatarsalgia; Morton's neuroma; Plantar plate",PubMed
"Various conditions may result in forefoot pain. Magnetic resonance (MR) imaging allows accurate assessment of many of these conditions. We provide an overview of forefoot disorders divided into bones, capsule and plantar plate, musculotendinous structures, neurovascular structures, and subcutaneous tissue. We review normal anatomical features as well as MR imaging findings of common disorders.

Copyright ? 2019 Canadian Association of Radiologists. Published by Elsevier Inc. All rights reserved.
KEYWORDS:

Foot; Forefoot pain; Magnetic resonance; Metatarsalgia; Morton's neuroma; Plantar plate",PubMed
"OBJECTIVES:

This study aims to evaluate the clinical importance of intermetatarsal distance, size of neuroma, and proportion of neuroma in the intermetatarsal space in examinations of Morton neuroma using ultrasonography.
METHODS:

Clinical prognosis was observed prospectively after corticosteroid injections in 136 patients with Morton neuroma, and the results were compared with ultrasonographic parameters of intermetatarsal distance, size of neuroma, and proportion of neuroma in the intermetatarsal space.
RESULTS:

Twenty-one patients (15%) did not respond to corticosteroid injections and underwent surgical treatment for Morton neuroma. Logistic regression analysis and receiver operating characteristic curve analysis showed that the size of the neuroma was the sole predictor of failure of corticosteroid injections (P?=?.002). No other factors were significant for the prediction of clinical prognosis (P?>?.05).
CONCLUSIONS:

The size of the neuroma on ultrasonography is the sole predictor of corticosteroid injection failure, while intermetatarsal distance and proportion of neuroma in the intermetatarsal space are not significant when predicting clinical prognosis of Morton neuroma.

? 2018 by the American Institute of Ultrasound in Medicine.
KEYWORDS:

Morton neuroma; intermetatarsal distance; size of neuroma; ultrasound",PubMed
"OBJECTIVE:

The aim of this work is to compare the effectiveness of blind and ultrasound-guided injection for Morton's neuroma (MN) to determine which is more appropriate as the initial procedure in conservative treatment.
METHODS:

This is an evaluator-blinded randomised trial. Of the 56 included patients, 27 were assigned to the blind group (A) and 29 to the ultrasound-guided group (B). Injection includes 1 ml of 2% mepivacaine and 40 mg of triamcinolone in each web space with MN. The included patients were assessed clinically by VAS score and the Manchester Foot Pain and Disability Score (MFPDS). The follow-up was performed at 15 days, 1 month, 45 days, 2 months, 3 months and 6 months after the initial injection.
RESULTS:

No differences in age or clinical measurements were found at presentation between group A and group B. At the follow-up, the ultrasound-guided group showed greater symptomatic relief at several stages of the follow-up: 45 days (VAS 3.0 ñ 0.5 versus 5.5 ñ 0.5, p = 0.001; MFPDS: 32.2 ñ 1.8 versus 38.8 ñ 2.0, p = 0.018), 2 months (VAS: 3.1 ñ 0.5 versus 5.6 ñ 0.5, p = 0.002; MFPDS: 31.5 ñ 1.9 versus 38.5 ñ 2.1, p = 0.020) and 3 months (VAS: 3.1 ñ 0.4 versus 5.2 ñ 0.6, p = 0.010; MFPDS: 31.2 ñ 1.9 versus 37.7 ñ 2.4, p = 0.047).
CONCLUSION:

Injection of MN under ultrasound guidance provides a statistically significant improvement at some stages of the follow-up (45 days, 2 and 3 months), compared with blind injection.
KEY POINTS:

? Ultrasound-guided steroid injections in Morton's neuroma provide short-term pain relief to over 60% of the patients. ? Ultrasound-guided injections in Morton's neuroma lead to a higher percentage of short-term pain relief than blind injections. ? Ultrasound-guided injections in Morton's neuroma lead to a lower percentage of skin side effects than blind injections.
KEYWORDS:

Metatarsalgia; Morton neuroma; Ultrasonography interventional",PubMed
"PURPOSE:

To determine whether ultrasound allows precise assessment of the course and relations of the medial plantar proper digital nerve (MPPDN).
MATERIALS AND METHODS:

This work was initially undertaken in six cadaveric specimens and followed by a high-resolution ultrasound study in 17 healthy adult volunteers (34 nerves) by two musculoskeletal radiologists in consensus. Location and course of the MPPDN and its relationship to adjacent anatomical structures were analysed.
RESULTS:

The MPPDN was consistently identified by ultrasound along its entire course. Mean cross-sectional area of the nerve was 0.8 mm2 (range 0.4-1.4). The MPPDN after it branches from the medial plantar nerve was located a mean of 22 mm (range 19-27) lateral to the medial border of the medial cuneiform. More distally, at the level of the first metatarsophalangeal joint, mean direct distances between the nerve and the first metatarsal head and the medial hallux sesamoid were respectively 3 mm (range 1-8) and 4 mm (range 2-9).
CONCLUSION:

The MPPDN can be depicted by ultrasonography. Useful bony landmarks for its detection could be defined. Precise mapping of its anatomical course may have important clinical applications.
KEY POINTS:

? The medial plantar proper digital nerve (MPPDN) rises from the medial plantar nerve to the medial side of the hallux. ? Because of its particularly long course and superficial position, the MPPDN may be subject to trauma, resulting in a condition known as Joplin's neuroma. ? The MPPDN can be clearly depicted by ultrasound along its entire course. Precise mapping of its anatomical course may have important clinical applications.
KEYWORDS:

Anatomy; Foot; Hallux; Ultrasonography",PubMed
"Schwannoma is a common neoplasm in the peripheral and central nervous systems. Sciatic nerve schwanommas are rare. We report the case of a 50-year-old woman who was referred for treatment of persistent neuropathic pain in the left lower limb after resection of a schwannoma on the left S1 nerve root. The patient's history goes back when she was 27 years old and started to have electric-like pain in her lower left limb upon intercourse. Examination revealed a left ovarian cyst which was surgically removed. Her pain persisted despite taking nonsteroidal anti inflammatory drugs (NSAIDs). Several years later a schwannoma on the left S1 nerve root was detected. The patient had surgical excision of the left S1 nerve root at the plexus along with the schwannoma. Following the surgery, she experienced pain upon sitting and touch, and had a limp in her left leg. She was prescribed NSAIDs, antidepressant and pregabalin. Despite the pharmacological treatment, the patient had persistent mild pain. Upon physical examination, the incision from her previous surgery was 4 cm away from the sacral midline and parallel to S1 and S2. The length of the incision was 3 cm. The patient had severe allodynia upon palpation at the area between S1 and L5 and the visual analog scale (VAS) score increased from 3 to 10. She had severe pain at rest and movement. Her neurologic exam revealed that the left lower extremity motor power showed mild weakness in the leg abduction, foot eversion, plantar and toes flexion, and in the hip extension. The sensory exam showed severe reduction in pinprick and temperature sensation in the lateral aspect of foot, lower leg and dorsolateral thigh and buttocks. Nerve stimulator guided injection was performed at the pain trigger point being 1 cm above the midline of the incision. Upon nerve stimulation the contraction of the gluteal muscle was observed. Then, 20 mL of the anesthetic mixture were injected. The patient had immediate pain relief after the block (VAS 1/10). She remained pain free for 15 days after which pain reappeared but with less severity (3/10). Repetitive sciatic nerve block was performed in a progressive manner and was shown to be effective in managing neuropathic pain.
KEYWORDS:

neuropathic pain; repetitive nerve block; schwannoma",PubMed
"Although many treatment modalities are available for Morton's neuroma, the injection of the neuroma with alcohol has gained popularity. However, recently, some investigators have observed a progressive deterioration in pain scores for patients initially pain free after the treatment. The purpose of the present retrospective comparative study was to determine whether mechanical metatarsalgia is related to symptom recurrence. We included 104 consecutive cases of ultrasound-guided alcohol injection for Morton's neuroma in 92 patients. Of these 104 cases, 51 were in group A (49%; Morton's neuroma) and 53 in group B (51%; Morton's neuroma associated with mechanical metatarsalgia). We evaluated each patient using a visual analog scale and American Orthopaedic Foot and Ankle Society forefoot scale, and Johnson satisfaction scale, with a mean follow-up period of 24 (range 12 to 39) months. Concomitant functional and mechanical disorders have been identified and treated with orthopedic inserts. The present study compared the clinical results and recurrence of symptoms in patients with isolated Morton's disease or Morton's disease associated with mechanical metatarsalgia. Of the 104 cases, the patients for 93 cases (89%) were completely satisfied or satisfied with minor reservations. No major complications developed. Symptoms recurred in 6 patients (6%), in whom neuroma was associated with mechanical disorders (p = .0269). Ultrasound-guided alcohol injection of Morton's neuroma is a relatively safe and well-tolerated treatment. Symptom recurrence is often associated with mechanical metatarsalgia. The treatment of the concomitant anatomical and functional disorders that target the genesis of the neuroma has an important role in the prevention of recurrence of this pathology.

Copyright ? 2018 The American College of Foot and Ankle Surgeons. Published by Elsevier Inc. All rights reserved.
KEYWORDS:

Morton's disease; forefoot disorders; interdigital neuroma; peripheral nerve disorders; sclerosant injections; ultrasonography",PubMed
"An intermetatarsal neuroma is a plantar digital neuritis causing metatarsalgia of the affected inter-metatarsal space. At present the evidence to support the management of the condition is poor with only some quality evidence supporting the short-term management of intermetatarsal neuromas using steroid injections. Some authors have supported the use of alcohol sclerosing intra-lesional injections to treat intermetatarsal neuromas. Following a search of the evidence 11 articles were identified. The systematic review found that alcohol injections appear to be safe although some papers report a short-term side effect of a flogistic reaction and there are variances in the alcohol concentration used and guiding verses not guiding the injection using ultrasound imaging. Some of the evidence may suggest a sclerosing histological effect of the nerve. However, all the studies reviewed present a research design offering a low level of evidence that is open to methodological biases and interpretation. Thus, this review found insufficient high-quality research evidence to afford conclusions on the management of intermetatarsal neuromas with alcohol sclerosing agent injections.

Crown Copyright ? 2018. Published by Elsevier Ltd. All rights reserved.
KEYWORDS:

Alcohol injections; Intermetatarsal neuroma; Morton?s neuroma; Systematic review",PubMed
"The anterior approach to the ankle for surgery can result in injury to the superficial peroneal nerve, resulting in a painful neuroma and significant patient morbidity. A paucity of data is available evaluating the role of the superficial peroneal nerve to deep peroneal nerve transfer as a method of treatment of neuromas in continuity after ankle arthrodesis. We describe 11 patients who underwent nerve transfer with nerve allograft and conduit repair to treat recalcitrant painful neuromas after ankle arthrodesis. At a mean follow-up period of 31 months, the mean visual analog pain scale score had improved from 7.9 preoperatively to 2.45 postoperatively (p?<?.0001). These data suggest that nerve transfer with a nerve allograft can provide significant clinical improvement for painful neuromas of the peripheral nerves at the ankle.

Copyright ? 2017 The American College of Foot and Ankle Surgeons. Published by Elsevier Inc. All rights reserved.
KEYWORDS:

ankle arthrodesis; deep peroneal nerve; intercalary nerve allograft; nerve transfer; neuroma; superficial peroneal nerve",PubMed
