abstract,source
"BACKGROUND:

The objective of this review was to determine the unmet needs for migraine in East Asian adults and children.
METHODS:

We searched MEDLINE and EMBASE (January 1, 1988 to January 14, 2019). Studies reporting the prevalence, humanistic and economic burden, and clinical management of migraine in China (including Hong Kong and Taiwan), Japan, and South Korea were included. Studies conducted before 1988 (before the International Headache Society [IHS] first edition of the International Classification of Headache Disorders) were not included.
RESULTS:

We retrieved 1337 publications and 41 met the inclusion criteria (28 from China, 7 from Japan, and 6 from South Korea). The 1-year prevalence of migraine (IHS criteria) among adults ranged from 6.0% to 14.3%. Peak prevalence ranged from 11% to 20% for women and 3% to 8% for men (30- to 49-year-olds). For children, prevalence of migraine increased with age. Information on the economic burden and clinical management of migraine was limited, particularly for children. When reported, migraine was significantly associated with high levels of disability and negative effects on quality of life. Studies suggested low levels of disease awareness/diagnosis within each country. Of individuals with migraine from China, 52.9% to 68.6% had consulted a physician previously, 37.2% to 52.7% diagnosed with headache had not been diagnosed with migraine previously, and 13.5% to 18% had been diagnosed with migraine previously. Of individuals with migraine from Japan, 59.4% to 71.8% had never consulted a physician previously, 1.3% to 7.3% regularly consulted physicians for their headache, and only 11.6% of individuals with migraine were aware that they had migraine. In addition, studies suggested that over-the-counter medication use was high and prescription medication use was low in each country.
CONCLUSIONS:

This review suggests that there are unmet needs for migraine in terms of sufficient and appropriate diagnosis, and better management and therapies for treatment of migraine in East Asia. The findings are limited by a lack of recent information and significant gaps in the literature. More recent, population-based studies assessing disease burden and clinical management of migraine are needed to confirm unmet needs for migraine across East Asia.
KEYWORDS:

Burden; China; Cost of illness; Epidemiology; Far East; Hong Kong; Japan; Korea; Medical economics; Migraine disorders; Prevalence; Quality of life; Taiwan",PubMed
"Headache disorder is a major public health issue and is a great burden for the person, the health care system, and society. This article reviews epidemiological surveys of primary headache disorders including migraine and tension-type headache (TTH) among adults in the Asia-Pacific region using the International Classification of Headache Disorders (ICHD), first or second edition. Chronic daily headache (CDH), which is not an official diagnosis in the ICHD, was also reviewed. In the Asia-Pacific region, the median (range) 1-year prevalence of primary headache disorders was 9.1% (1.5-22.8%) for migraine, 16.2% (10.8-33.8%) for TTH, and 2.9% (1.0-3.9%) for CDH. The 1-year prevalence of migraine and TTH were rather consistent; however, the extremes in the 1-year prevalence of migraine in earlier studies from Hong Kong (1.5%) and South Korea (22.3%) were not repeated in later surveys (Hong Kong: 12.5%; South Korea: 6%). According to the United Nations, the estimated population of the Asia-Pacific region was 3.85 billion in 2010, equaling to headache suffers of 350 million patients with migraine, 624 million with TTH, and 112 million with CDH; many remain to be treated. The prevalence of headache disorders has remained stable over the last 2 decades in this region, where the diversity of geography, race, and development is wide. Thus, the pursuit of better headache care in this region might be our next challenge.

? 2014 American Headache Society.
KEYWORDS:

Asia; epidemiology; headache; migraine; tension-type headache",PubMed
"BACKGROUND:

US Headache Consortium Guidelines state that persons with migraine with headache-related disability should receive certain acute treatments including migraine-specific and other medications. However, many eligible individuals do not receive these therapies. Individuals with migraine may experience barriers to receiving minimal appropriate care. We aimed to identify barriers to care in a population sample of individuals with episodic migraine. We assessed barriers at 3 levels: medical consultation, diagnosis, and acute pharmacologic therapy use and assessed the contribution of socioeconomic, demographic, and headache-specific variables to these barriers.
METHODS:

We identified 3 steps that were minimally necessary to achieve guideline-defined appropriate acute pharmacologic therapy as: (1) consulting a prescribing health care professional; (2) receiving a migraine diagnosis; and (3) using migraine-specific or other appropriate acute treatments. We used data from the 2009 American Migraine Prevalence and Prevention study sample to identify persons with episodic migraine with unmet treatment needs, defined by a Migraine Disability Assessment Scale (MIDAS) score corresponding to Grade II (mild), III (moderate), or IV (severe) headache-related disability. We determined whether these individuals had consulted a health care professional for headache over the previous year, if they ever received a medical diagnosis of migraine from a health care professional, and whether they were currently using appropriate acute treatment for migraine (ie, a triptan, prescription non-steroidal anti-inflammatory drug, or an isometheptene-containing agent). We analyzed several socioeconomic, demographic, and headache-specific variables to determine if they were related to barriers in any of the 3 defined steps.
RESULTS:

Of 775 eligible participants with episodic migraine and headache-related disability, 45.5% (n = 353/775) had consulted health care professional for headache in the preceding year. Among those individuals, 86.7% (n = 306/353) reported receiving a medical diagnosis of migraine. Among the diagnosed consulters, 66.7% (204/306) currently used acute migraine-specific treatments. Only 204 (26.3%) individuals successfully completed all 3 steps. Multivariate logistic regression models revealed that the strongest predictors of current consulting for headache were having health insurance {odds ratio (OR) = 1.73 (95% confidence interval [CI], 1.07-2.79)}, high headache-related disability (OR = 1.06 [95% CI, 1.0-1.14] for a 10-point change in MIDAS score), and a high composite migraine symptom severity score (OR = 1.19 [95% CI, 1.05-1.36]). Among consulters, diagnosis was much more likely in women than men (OR = 4.25 [95% CI, 1.61-11.2]) and became increasingly likely with increasing average headache pain severity (OR = 1.44 [95% CI, 1.12-1.87]) and migraine symptom severity score. Among those who were diagnosed, annual household income was the strongest predictor of currently using guideline-defined appropriate acute treatment (OR = 1.44 [95% CI, 1.07-1.93]) followed by a 10-point change in MIDAS score (OR 1.16 [95% CI, 1.02-1.35]).
CONCLUSIONS:

Among persons with migraine in need of medical care (MIDAS Grade II or greater), only one quarter traversed the 3 steps we proposed to be necessary to achieving minimally appropriate care (consulting, diagnosis, and treatment/medication use). Health insurance status was an important predictor of consulting. Among consulters, women were far more likely to be diagnosed than men, suggesting that gender bias in diagnosis may be an important barrier for men. There were economic barriers related to use of appropriate prescription medications. Public health efforts should focus on improving consultation rates, particularly in the uninsured and diagnostic rates particularly in males with migraine.",PubMed
"Earlier studies have raised the issue that Asians have a much lower migraine prevalence than Westerners. This article reviews the recent epidemiologic studies of headache in Asia using International Headache Society (IHS) classification criteria. Except for the Korean study and the first Hong Kong study (1992 to 1993), the prevalence of migraine has been quite consistent, ranging from 8.4% to 12.7%. The sex-specific migraine prevalence was 11.3% to 14.4% in women and 3.6% to 6.7% in men. The prevalence of IHS tension-type headache has also been similar among these studies (15.6% to 25.7%). The consistency of the prevalence of migraine and tension-type headache among these Asian countries is interesting in a region where the cultural background and development are so diverse. These IHS migraine surveys show that migraine is a significant disease in Asia and that its prevalence rate is close to but in the low range of the those reported in Western countries. Two surveys of chronic daily headache conducted in Taiwan, one in the general population and the other in the elderly population, have also revealed prevalence rates (3.2% to 3.9%) similar to those of Western countries (3.0% to 4.7%). The geographic or ethnic diversity of migraine or other types of headache could be downplayed if a similar epidemiologic methodology and an identical case definition were used in the surveys among different regions of the world.",PubMed
"Several studies have shown that the prevalence of migraine and tension-type headache (TTH) varied between different geographical regions. Therefore, there is a need of a nationwide prevalence study for headache in our country, located between Asia and Europe. This nationwide study was designed to estimate the 1-year prevalence of migraine and TTH and analyse the clinical features, the impact as well as the demographic and socio-economic characteristics of the participant households in Turkey. We planned to investigate 6,000 representative households in 21 cities of Turkey; and a total of 5,323 households (response rate of 89%) aged between 18 and 65 years were examined for headache by 33 trained physicians at home on the basis of the diagnostic criteria of the second edition of the International Classification of Headache Disorders (ICHD-II). The electronically registered questionnaire was based on the headache features, the associated symptoms, demographic and socio-economic situation and history. Of 5,323 participants (48.8% women; mean age 35.9 ñ 12 years) 44.6% reported recurrent headaches during the last 1 year and 871 were diagnosed with migraine at a prevalence rate of 16.4% (8.5% in men and 24.6% in women), whereas only 270 were diagnosed with TTH at a prevalence rate of 5.1% (5.7% in men and 4.5% in women). The 1-year prevalence of probable migraine was 12.4% and probable TTH was 9.5% additionally. The rate of migraine with aura among migraineurs was 21.5%. The prevalence of migraine was highest among 35-40-year-old women while there were no differences in age groups among men and in TTH overall. More than 2/3 of migraineurs had ever consulted a physician whereas only 1/3 of patients with TTH had ever consulted a physician. For women, the migraine prevalence was higher among the ones with a lower income, while among men, it did not show any change by income. Migraine prevalence was lower in those with a lower educational status compared to those with a high educational status. Chronic daily headache was present in 3.3% and the prevalence of medication overuse headache was 2.1% in our population. There was an important impact of migraine with a monthly frequency of 5.9 ñ 6, and an attack duration of 35.1 ñ 72 h, but only 4.9% were on prophylactic treatment. The one-year prevalence of migraine estimated as 16.4% was similar or even higher than world-wide reported migraine prevalence figures and identical to a previous nation-wide study conducted in 1998, whereas the TTH prevalence was much lower using the same methodology with the ICHD-II criteria.",PubMed
"This study presents the first nationwide survey of migraine in Japan. A representative sample of 4029 subjects aged 15 years or older was selected from the Japanese population according to the quota method. A combination of telephone interview and mailed questionnaire methods was used. Diagnosis of migraine was based on the International Headache Society (IHS) Classification. The overall prevalence of migraine in the past year was 8.4%; 5.8% was migraine without aura and 2.6% was migraine with aura. Significant correlation was found between the prevalence of migraine and such variables as gender, age and district of residence. Doctor attendance rate was very low and 69.4% with migraine had never consulted a physician for headache. Yet, 74.2% complained that migraine headache impaired their daily activity significantly. Only 11.6% were aware that their headache was migraine and 56.9% were using only the over-the-counter drugs. The study revealed a comparably high prevalence of migraine in the general population of Japan compared with other countries. A genetic factor was speculated as the cause of regional difference in migraine prevalence.",PubMed
"OBJECTIVE:

To determine prevalence and burden of headache and migraine in the general population in Germany including patterns of healthcare and medication use.
METHODS:

Telephone interviews were conducted on a representative sample of the general population in Germany aged >or=18 years (n = 7341). Migraine was diagnosed according to the International Headache Society criteria.
RESULTS:

One-year prevalence was: headache 60.2%, migraine 10.6%, nonmigrainous severe headache 24.7% (women 66.6%, 15.6%, and 27.1%; men 53.0%, 5.3%, and 22.2%). Approximately 60% of headache sufferers reported severe headaches, 30% of which were migrainous. Migraineurs reported more often frequent headaches, disability, use of analgesics, and medical consultation than individuals with nonmigrainous severe headaches. Only 42% of migraineurs had consulted a physician and the majority relied exclusively on over-the-counter medication.
CONCLUSION:

Migraine accounts for a great part of the healthcare impact of headaches in Germany. However, the majority of migraineurs do not seek medical care and may not be optimally treated.",PubMed
"OBJECTIVES:

To summarize the baseline methods for the Migraine in America Symptoms and Treatment (MAST) Study and evaluate gender differences in sociodemographics and headache features; consultation and diagnosis patterns; and patterns of acute and preventive treatment use for migraine among study participants.
BACKGROUND:

The MAST Study is a longitudinal, internet-based panel study of symptoms, approaches to management, and unmet treatment needs among US adults with migraine. This analysis focuses on the initial cross-sectional survey, conducted beginning in 2016, and is intended to update results from earlier national epidemiologic surveys of people with migraine in the United States.
METHODS:

Respondents to the MAST Study were recruited from a US nationwide online research panel. Stratified random sampling identified a representative cohort of adults (aged ò18 years). We administered a validated diagnostic screener based on modified ICHD-3 beta criteria to identify individuals with migraine averaging at least 1 monthly headache day (MHD) over the previous 3 months. A baseline assessment evaluated sociodemographic and headache features, patterns of consultation and diagnosis, and use of acute and preventive medications for migraine. Frequency data and chi-square contrasts (P < .05) were used to compare respondents based on gender.
RESULTS:

Baseline survey data (N = 95,821) identified 18,353 respondents who met criteria for migraine, including 15,133 (women n = 11,049, men n = 4084) reporting at least 1 MHD for the preceding 3 months. The mean age of the sample was 43.1 (13.6) years; 73.0% of respondents were women, and 81.0% were Caucasian. Compared with men, women were younger (46.1 vs 42.0 years; P < .001); had more MHDs (5.6 vs 5.3; P < .001); and were more likely to report moderate or severe headache-related disability (45.9% vs 35.8%; P < .001) and cutaneous allodynia (43.7% vs 29.5%; P < .001). The lifetime rate of medical consultation for headache was 79.8% overall and slightly higher in women than in men. Women were more likely than men to have been diagnosed with migraine (48.3% vs 38.8%, P < .001). While 95.1% of people with migraine currently used acute treatment, the majority (58.9%) used over-the-counter (OTC) drugs to the exclusion of prescription drugs, while 11.3% used exclusively prescription drugs, and 20.5% used both. Among acute prescription medication users, women were more likely than men to take triptans (17.7% vs 14.3%, P < .001), while men were more likely than women to take opioids (14.5% vs 9.2%, P < .001). Oral formulations were used predominately (92.7% of the medication users), but men were more likely to use nasal sprays (13.6% vs 9.4%, P < .001) and injectables (7.9% vs 3.4%, P <  .001). Men (14.5%) were also significantly more likely than women (10.4%) to be taking daily oral preventive medication (P < .001).
CONCLUSIONS:

The MAST Study identified a large sample of women and men with migraine from a sampling frame that broadly resembles the US population. Low participation rate increases the risk of response bias, however, comparisons with Census data and prior population studies for the demographic and headache characteristics of the current sample suggest that findings are generalizable to the population of people with migraine. Women had more MHDs than men, and they were more likely to report migraine-related disability and cutaneous allodynia. The lifetime consultation rate for headache was relatively high, but many with migraine symptoms reported never having received a diagnosis of migraine from a healthcare professional. Acute prescription and preventive migraine treatments are underused. Migraine persists as an underdiagnosed and undertreated public health problem in 2018, and there are many opportunities to improve the diagnosis and treatment of people with this painful, disabling condition.

? 2018 American Headache Society.
KEYWORDS:

allodynia; epidemiology; gender; migraine; treatment optimization; treatment patterns",PubMed
"This is the first population-based epidemiologic study of chronic headache in South Korea. The diagnosis and classification of headache was according to the criteria of the International Headache Society. Sixty-eight percent of the studied population experienced headache during the preceding year. The estimated prevalences were 22.3% for migraine (male 20.2%, female 24.3%) and 16.2% for tension-type headache (male 17.8%, female 14.7%). In migraine, the 15- to 19-year age group showed maximal prevalence in both sexes (male 28.5%, female 34.7%). The prevalence of tension-type headache was highest in the 50- to 59-year age group in men (24.2%) and in the 20- to 29-year age group in women (20.2%). In migraine, headache intensity was more severe in women than in men, but in tension-type headache there was no difference in the severity of headache between the sexes. Phonophobia was the most common associated symptom of migraine (65.1%). In the migraine with aura group, the most common aura was visual disturbance, including scintillation and image distortion (82.3%). Only 24.4% of migraineurs and 12.3% of patients with tension-type headache had ever consulted a doctor for headache. The prevalence of migraine was not lower than in western countries and much higher than in previous studies conducted in other Asian countries.",PubMed
"BACKGROUND:

Despite the expanding therapeutic armamentarium, many people with episodic migraine (EM) have unmet acute treatment needs.
OBJECTIVE:

To determine the relative frequency of prespecified types of ""unmet treatment needs"" in persons with EM in a US population-based sample.
METHODS:

Eligible participants completed the 2009 American Migraine Prevalence and Prevention Study survey and met International Classification of Headache Disorders-2nd edition (ICHD-2) criteria for migraine with an average headache day frequency of <15 days per month (EM). We identified 5 domains of unmet treatment needs: (1) dissatisfaction with current acute treatment using 3 summary items from the Patient Perception of Migraine Questionnaire-revised edition (PPMQ-R); (2) moderate or severe headache-related disability defined by a Migraine Disability Assessment Scale score of ò11; (3) excessive use of opioids or barbiturates defined as use on ò4?days/month or by meeting Diagnostic and Statistical Manual for Mental Disorders-4th edition criteria for dependence; (4) recurrent use of the emergency department or urgent care clinic for headache defined by ò2 visits in the preceding year for headache; and (5) history of cardiovascular events indicating a possible contraindication to triptan use. For each respondent, we identified their unmet treatment needs in each category and classified them as having no unmet needs or 1 or more unmet needs.
RESULTS:

Of 5591 respondents with EM, 2274 (40.7%) had 1 or more unmet needs; 1467 (26.2%) had exactly 1 unmet need, and 807 (14.4%) had 2 or more unmet needs. Among those with at least 1 unmet need, 1069 (47.0%) had moderate or severe headache-related disability, 851 (37.4%) were dissatisfied with their acute treatment regimen, 728 (32.0%) had excessive opioid or barbiturate use and/or probable dependence, 595 (26.2%) had a history of cardiovascular events, and 129 (5.7%) reported ò2 visits in the preceding year to the emergency department/urgent care clinic for headache. Persons with more headache days, depression, or generalized anxiety were more likely to have unmet treatment needs.
CONCLUSION:

In a population sample of individuals with EM, more than 40% have at least 1 unmet need in the area of acute treatment. The leading reasons for unmet needs, which include headache-related disability and dissatisfaction with current acute treatment, suggest opportunities for improving outcomes for persons with EM.

? 2013 American Headache Society.
KEYWORDS:

acute treatment; cardiovascular risk factors; headache-related disability; migraine; satisfaction; unmet need",PubMed
