abstract,source
"PURPOSE:

Compression of the sciatic nerve in its path along the piriformis muscle can produce sciatica-like symptoms. There are 6 predominant types of sciatic nerve variations with type 1 being the most common (84.2%), followed by type 2 (13.9%). However, there is scarce literature on the prevalence of sciatic nerve variation in those diagnosed with sciatica.
MATERIALS AND METHODS:

The charts of 95 patients clinically diagnosed with sciatica who had a magnetic resonance imaging of the pelvis/hip were retrospectively studied. All patients had T1-weighted axial, coronal, and sagittal images. Magnetic resonance imagings were interpreted separately by 2 board-certified fellowship-trained musculoskeletal radiologists to identify the sciatic nerve variant.
RESULTS:

Seven cases were excluded because of inadequate imaging. Of the remaining 88 patients, 5 had bilateral sciatica resulting in a sample size of 93 limbs. Fifty-two (55.9%) had type 1 sciatic nerve anatomy, 39 (41.9%) had type 2, and 2 (2.2%) had type 3. The proportions of type 1 and 2 variations were significantly different from the normal distribution (P < 0.001), whereas type 3, 4, 5, and 6 variants were not (P = 1.00).
CONCLUSIONS:

There is strong statistical significance regarding the relationship between sciatic nerve variation and the clinical diagnosis of sciatica. Preoperative magnetic resonance imaging can be considered in sciatica patients to prevent iatrogenic injury in pelvic surgery.",PubMed
"Endometriosis (EN) is a common gynecological condition characterized by the presence of functional endometrium located outside the uterine cavity. Sciatic nerve (SN) is rarely affected by EN. Magnetic resonance imaging allows a direct visualization of the spinal and SN, and it is the modality of choice for the study of SN involvement in extrapelvic EN. We report a case of an endometrioma located in the right SN with a systematic review of the literature.",PubMed
"The sciatic nerve is the terminal branch of the sacral plexus. Sciatalgia is a nerve root pain. In most cases, sciatica originates from degenerative disc disease. Tumor involving the sciatic nerve is extremely rare. We here report the case of a 33-year old patient with nerve tumor detected on MRI performed for drug-resistant sciatica. Tumor involving the sciatic nerve is rare and diagnosis is difficult. MRI data are crucial for establishing an effective surgical approach.

? Omar El Aoufir et al.
KEYWORDS:

MRI; Sciatic nerve; nerve tumor; neurinoma; neurofibroma",PubMed
"Carbonic anhydrase-8 (CA8) is an intracellular protein that functions as an allosteric inhibitor of inositol trisphosphate receptor-1 (ITPR1) critical to intracellular Ca++ release, synaptic functions and neuronal excitability. We showed previously that murine nociception and analgesic responses are regulated by the expression of this gene in dorsal root ganglion (DRG) associated with a cis-eQTL. In this report, we identify an exon-level cis-eQTL (rs6471859) that regulates human DRG CA8 alternative splicing, producing a truncated 1,697bp transcript (e.g., CA8-204). Our functional genomic studies show the ""G"" allele at rs6471859 produces a cryptic 3'UTR splice site regulating expression of CA8-204. We developed constructs to study the expression and function of the naturally occurring CA8-204G transcript (G allele at rs6471859), CA8-204C (C allele at rs6471859 reversion mutation) and CA8-201 (full length transcript). CA8-204G transcript expression occurred predominantly in non-neuronal cells (HEK293), while CA8-204C expression was restricted to neuronal derived cells (NBL) in vitro. CA8-204G produced a stable truncated transcript in HEK293 cells that was barely detectable in NBL cells. We also show CA8-204 produces a stable peptide that inhibits pITPR1 and Ca++ release in HEK293 cells. These results imply homozygous G/G individuals at rs6471859, which are common in the general population, produce exclusively CA8-204G that is barely detectable in neuronal cells. CA8 null mutations that greatly impact neuronal functions are associated with severe forms of spinal cerebellar ataxia, and our data suggest G/G homozygotes should display a similar phenotype. To address this question, we show in vivo using AAV8-FLAG-CA8-204G and AAV8-V5-CA8-201 gene transfer delivered via intra-neural sciatic nerve injection (SN), that these viral constructs are able to transduce DRG cells and produce similar analgesic and anti-hyperalgesic responses to inflammatory pain. Immunohistochemistry (IHC) examinations of DRG tissues further show CA8-204G peptide is expressed in advillin expressing neuronal cells, but to a lesser extent compared to glial cells. These findings explain why G/G homozygotes that exclusively produce this truncated functional peptide in DRG evade a severe phenotype. These genomic studies significantly advance the literature regarding structure-function studies on CA8-ITPR1 critical to calcium signaling pathways, synaptic functioning, neuronal excitability and analgesic responses.",PubMed
"BACKGROUND:

Peripheral nerve blocks reduce postoperative pain and opioid consumption after total knee arthroplasty (TKA). The aim of this study was to evaluate the effects of single-shot femoral nerve and sciatic nerve blocks on postoperative pain management and opioid consumption after TKA.
METHODS:

This study included 100 patients who underwent TKA between July 2015 and September 2017. Fifty patients received pre-operative, single-injection, ultrasound-guided femoral and sciatic nerve blocks (Group 1) and 50 did not (Group 2). Multimodal analgesia was otherwise identical, and oxycodone was administered either intravenously or orally if the patients complained of postoperative pain ò6 on the visual analog scale (VAS). Postoperative VAS scores, opioid consumption, and the fear of future TKA were compared between the groups.
RESULTS:

The mean VAS in the first 18 postoperative hours was significantly lower in Group 1 (P?ó?0.002). The mean amount of oxycodone taken in the first three postoperative days was significantly lower in Group 1 (P?=?0.001). Patient fear of future TKA at 14?days postoperatively was significantly lower in Group 1 (P?=?0.027).
CONCLUSIONS:

Pre-operative ultrasound-guided, single-shot femoral and sciatic nerve blocks afforded effective pain control in the first 18?h after TKA, and significantly reduced oxycodone consumption in the first three postoperative days.

Copyright ? 2019. Published by Elsevier B.V.
KEYWORDS:

Femoral nerve block; Oxycodone; Postoperative pain; Sciatic nerve block; Total knee arthroplasty; Ultrasound",PubMed
"INTRODUCTION:

An isolated injury to the tibial division is rare among compressive sciatic neuropathy. To date, isolated injury to the tibial division of the sciatic nerve after self-massage of the gluteal muscle has not been reported. Here, we report a case of compressive sciatic neuropathy diagnosed after self-massage of the gluteal muscle using magnetic resonance image (MRI) and ultrasound images and its associated therapeutic process.
PATIENT CONCERNS:

A 50-year-old woman presented right lower extremity pain for the past 7 days.
DIAGNOSIS:

Electrophysiological findings were consistent with right tibial neuropathy proximal to the branch to hamstring muscles. However, T2-weighted MRI showed high signal intensity and swelling in the right sciatic nerves from the superior gemellus level to the quadratus femoris level. After considering both radiologic and electrophysiological findings, the patient was diagnosed with an isolated injury to the tibial division of the right sciatic nerve.
INTERVENTIONS:

The patient agreed to an ultrasound-guided perineural steroid injection upon receiving detailed explanation of the procedure.
OUTCOMES:

After the injection, there was significant improvement in pain.
CONCLUSION:

Therefore, in making a diagnosis of sciatic neuropathy, it may be important to find the lesion via MRI than relying solely on the patient's history or electrophysiologic study.",PubMed
"OBJECTIVE:

The purpose of this study was to assess the endoscopic findings of the sciatic nerve and clinical outcomes of major traumatic sciatic nerve neuropathies after fracture or reconstructive surgery of the acetabulum with idiopathic deep gluteal syndrome (DGS) groups.
DESIGN:

Retrospective review of patient reports.
SETTING:

Level I trauma center of a tertiary university hospital.
PARTICIPANTS:

The study included 70 patients who consecutively underwent endoscopic sciatic nerve decompression. Patients who had previous fractures or reconstructive surgeries of the acetabulum were categorized as the major trauma group, whereas those without major trauma were categorized as the idiopathic group (45 patients) after a minimum of 24-months of follow-up period.
MAIN OUTCOME MEASURES:

The results were evaluated using the modified Harris Hip Score (mHHS), Hip outcome, and 12-Item Short Form Health Survey scores, respectively.
RESULTS:

In the major trauma group, all patients with sensory symptoms showed some degree of relief after the endoscopic sciatic nerve release. None of the patients with complete foot drop demonstrated complete improvement. Three patients with motor weakness without foot drop showed complete improvement in motor function. The mean mHHS increased from 61.5 ñ 13.4 to 84.1 ñ 8.1 (P = 0.031). In the idiopathic DGS group, the mean mHHS increased from 73.8 ñ 10.3 to 94.4 ñ 5.3 (P = 0.003). The Benson outcomes rating in the major trauma group was statistically lower than that in the idiopathic DGS group.
CONCLUSION:

Endoscopic release of the sciatic nerve after fractures or reconstructive surgeries could provide some improvements without complications. However, more favorable outcomes were observed in the idiopathic DGS group.",PubMed
"AIMS:

People with chronic low back pain (CLBP) tend to have altered postural control. Visual biofeedback may be used to restore postural control. The purpose of this pilot study was to investigate the effect of visual biofeedback on seated postural trunk control in subjects with CLBP, and to investigate the relationship between the postural control parameters and clinical tests.
METHODS:

Ten CLBP subjects (8 female, 2 male; age 40.6ñ5 yrs; BMI 25.06ñ2.93) and 10 healthy matched controls (8 female, 2 male; age 41.2ñ5.88 yrs; BMI 24.61ñ3.17) underwent seated postural assessment. Center of pressure (COP) parameters were collected under three experimental conditions: eyes-open, visual biofeedback, and eyes-closed.
RESULTS:

The results revealed that COP velocity was significantly different between healthy and CLBP subjects for each condition, both healthy and CLBP subjects had no differences in COP parameters between eyes-open and visual biofeedback conditions, and in subjects with CLBP, the straight leg raise clinical test had a strong negative correlation with all COP parameters.
CONCLUSIONS:

Our results suggest that 30-second visual biofeedback training did not improve the seated postural control of CLBP subjects, potentially due to the short duration of training, and that hamstrings muscle tightness or decreased sciatic nerve mobility was associated with worse postural control.",PubMed
"AIMS:

To explore the association of self-reported physical fitness with bodily, lumbar and sciatic pain, and pain disability during pregnancy.
METHODS:

The present study sample comprised 159 pregnant women (32.9 ñ 4.7 years old). Self-reported physical fitness was assessed with the International Fitness Scale (IFIS), where higher scores indicate greater physical fitness. Bodily pain was assessed with the 36-Item Short Form Health Survey (SF-36), where higher scores indicate lower pain. Lumbar and sciatic pain were measured with a visual analogue scale (VAS). The Oswestry Disability Index (ODI) questionnaire was employed to assess the disability resulting from pain. Measures were assessed at 16th and 34th gestational weeks (g. w.).
RESULTS:

Pregnant women showed low-moderate pain during pregnancy course. Most of them showed medium self-reported overall physical fitness. At 16th g. w., greater self-reported overall physical fitness and cardiorespiratory fitness were associated with less bodily and lumbar pain, and pain disability (all, P < 0.05). Greater muscular strength was associated with less bodily pain and pain disability (both, P < 0.05). Greater speed-agility was associated with less bodily pain (P < 0.01) and less pain disability (P < 0.05). Self-reported flexibility was not associated with any outcome (P > 0.05). At 34th g. w., greater overall physical fitness and its components were associated with less bodily and sciatic pain (all, P < 0.05).
CONCLUSION:

Greater self-reported overall physical fitness and its components are associated with less bodily, lumbar and sciatic pain, and reduced pain disability during pregnancy. Future studies are needed to explore whether increasing physical fitness before and during pregnancy could decrease pain in this relevant stage.

? 2019 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.
KEYWORDS:

International Fitness Scale; agility; back pain; cardiorespiratory fitness; flexibility; gestation; strength; visual analogue scale",PubMed
"Although cocaine induced myopathy and myotoxicity are described in the literature, we report a rare case of cocaine induced paraspinal myositis presenting with acute sciatic symptoms. A 35-year-old man presented with acute left-sided sciatica and was discharged from the emergency department (ED). He subsequently attended ED the following day in severe pain and bilateral sciatic symptoms, but denied symptoms of neurogenic bowel/bladder disturbance. Clinical examination was limited by severe pain: focal midline lumbar tenderness was elicited on palpation, per rectal and limb examinations were within normal limits with no significant neurological deficit. He was admitted for observation and pain management. His blood tests revealed a leucocyte count of 21.5?109/L, C reactive protein of 89?mg/L and deranged renal function with creatinine of 293 ?mol/L. An urgent lumbar spine MRI was arranged to rule out a discitis or epidural abscess. Lumbar MRI did not demonstrate any features of discitis but non-specific appearances of paraspinal inflammation raised the suspicion of a paraspinal myositis. Creatinekinase (CK) was found to be 66329 IU/L and a detailed history revealed he was a cocaine user. Paraspinal muscle biopsy confirmed histological features compatible with myositis. Other serological tests were negative, including anti-GBM, ANCA, ANA, Rheumatoid factor, Hep B, Hep C, myositis specific ENA, Treponema pallidum, Borrelia burgdorferi, Rickettsia, Leptospira, EBV and CMV. There was good clinical response to treatment with prednisolone 20?mg OD with an improvement in renal function, CK levels and CRP. He had resumed normal activities and return to work at 6-week follow-up. A detailed social history including substance misuse is important in patients presenting to the ED-especially in cases of severe musculoskeletal pain with no obvious localising features. Drug induced myotoxicity, although rare, can result in symptomatic patients with severe renal failure.

? BMJ Publishing Group Limited 2019. No commercial re-use. See rights and permissions. Published by BMJ.
KEYWORDS:

drug misuse (including addiction); musculoskeletal syndromes; orthopaedics; radiology; unwanted effects / adverse reactions",PubMed
